Seed,Ganho,C,k,n
28,7.05,C=100,k=5,n=20
29,3.69,C=100,k=5,n=20
30,5.60,C=100,k=5,n=20
1,1.00,C=50,k=3,n=10
2,1.02,C=50,k=3,n=10
3,-0.68,C=50,k=3,n=10
4,-0.04,C=50,k=3,n=10
5,-0.23,C=50,k=3,n=10
6,-0.30,C=50,k=3,n=10
7,0.45,C=50,k=3,n=10
8,-0.54,C=50,k=3,n=10
9,-0.37,C=50,k=3,n=10
10,0.96,C=50,k=3,n=10
11,0.32,C=50,k=3,n=10
12,0.09,C=50,k=3,n=10
13,0.67,C=50,k=3,n=10
14,0.85,C=50,k=3,n=10
15,0.03,C=50,k=3,n=10
16,-0.06,C=50,k=3,n=10
17,1.17,C=50,k=3,n=10
18,0.83,C=50,k=3,n=10
19,0.24,C=50,k=3,n=10
20,-0.28,C=50,k=3,n=10
21,-0.59,C=50,k=3,n=10
22,-0.64,C=50,k=3,n=10
23,0.94,C=50,k=3,n=10
24,1.12,C=50,k=3,n=10
25,-1.13,C=50,k=3,n=10
26,0.37,C=50,k=3,n=10
27,0.09,C=50,k=3,n=10
28,-0.54,C=50,k=3,n=10
29,-0.19,C=50,k=3,n=10
30,0.13,C=50,k=3,n=10
1,0.77,C=100,k=3,n=10
2,0.47,C=100,k=3,n=10
3,0.71,C=100,k=3,n=10
4,0.45,C=100,k=3,n=10
5,0.55,C=100,k=3,n=10
6,0.46,C=100,k=3,n=10
7,0.13,C=100,k=3,n=10
8,0.51,C=100,k=3,n=10
9,0.69,C=100,k=3,n=10
10,1.19,C=100,k=3,n=10
11,-0.14,C=100,k=3,n=10
12,-0.25,C=100,k=3,n=10
13,-0.54,C=100,k=3,n=10
14,0.63,C=100,k=3,n=10
15,0.56,C=100,k=3,n=10
16,-0.45,C=100,k=3,n=10
17,0.28,C=100,k=3,n=10
18,-0.12,C=100,k=3,n=10
19,0.58,C=100,k=3,n=10
20,0.92,C=100,k=3,n=10
21,-0.29,C=100,k=3,n=10
22,0.25,C=100,k=3,n=10
23,-0.56,C=100,k=3,n=10
24,-0.19,C=100,k=3,n=10
25,0.11,C=100,k=3,n=10
26,-0.59,C=100,k=3,n=10
27,-1.13,C=100,k=3,n=10
28,0.08,C=100,k=3,n=10
29,0.64,C=100,k=3,n=10
30,0.88,C=100,k=3,n=10
1,0.65,C=50,k=4,n=10
2,3.21,C=50,k=4,n=10
3,1.37,C=50,k=4,n=10
4,2.48,C=50,k=4,n=10
5,1.25,C=50,k=4,n=10
6,1.48,C=50,k=4,n=10
7,2.05,C=50,k=4,n=10
8,2.60,C=50,k=4,n=10
9,0.96,C=50,k=4,n=10
10,3.02,C=50,k=4,n=10
11,1.31,C=50,k=4,n=10
12,2.17,C=50,k=4,n=10
13,3.08,C=50,k=4,n=10
