Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
179,0.5,1.0000941619585688,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
180,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
181,0.5,1.0000910746812386,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
182,0.5,1.0000910746812386,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
183,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
184,0.5,1.0000881367882954,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
185,0.5,1.0000881367882954,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
186,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
187,0.5,1.0000853387950162,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
188,0.5,1.0000853387950162,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
189,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
190,0.5,1.0000826719576719,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
191,0.5,1.0000826719576719,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
192,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
193,0.5,1.0000801282051281,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
194,0.5,1.0000801282051281,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
195,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
196,0.5,1.0000777000777001,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
197,0.5,1.0000777000777001,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
198,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
199,0.5,1.0000753806723957,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
200,0.5,1.0000753806723957,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
201,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
202,0.5,1.0000731635937958,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
203,0.5,1.0000731635937958,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
204,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
205,0.5,1.0000710429099176,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
206,0.5,1.0000710429099176,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
207,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
208,0.5,1.0000690131124914,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
209,0.5,1.0000690131124914,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
210,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
211,0.5,1.0000670690811535,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
212,0.5,1.0000670690811535,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
213,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
214,0.5,1.0000652060511215,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
215,0.5,1.0000652060511215,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
216,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
217,0.5,1.0000634195839675,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
218,0.5,1.0000634195839675,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
219,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
220,0.5,1.0000617055411576,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
221,0.5,1.0000617055411576,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
222,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
223,0.5,1.0000600600600602,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
224,0.5,1.0000600600600602,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
225,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
226,0.5,1.0000584795321636,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
227,0.5,1.0000584795321639,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
228,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
229,0.5,1.0000569605832763,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
230,0.5,1.0000569605832763,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
231,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
232,0.5,1.0000555000555,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
233,0.5,1.0000555000555,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
234,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
235,0.5,1.0000540949908039,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
236,0.5,1.0000540949908039,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
237,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
238,0.5,1.0000527426160337,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
239,0.5,1.0000527426160337,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
240,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
